wavelength (microns),c_extinction,c_scattering,kappa,g,P_max,Thetmax
11.7,9.6114,1.5364,4.0287e+16,0.35345,0.9634299999999999,91.0
11.8,9.8636,1.6335,4.1345e+16,0.35045,0.96081,91.0
11.9,10.08,1.7256,4.225e+16,0.34759,0.9582700000000001,91.0
12.0,10.247,1.8103,4.2951e+16,0.34498,0.9558700000000001,91.0
12.1,10.366,1.8872,4.3451e+16,0.34259,0.9537100000000001,92.0
12.2,10.448,1.9583,4.3795e+16,0.3404,0.9518700000000001,92.0
12.3,10.501,2.0242,4.4015e+16,0.33834000000000003,0.9501299999999999,92.0
12.4,10.517999999999999,2.0835,4.4089e+16,0.33643,0.94855,92.0
12.5,10.495,2.1338,4.3991e+16,0.33469,0.9474600000000001,93.0
12.6,10.440999999999999,2.1775,4.3764e+16,0.33305999999999997,0.94658,93.0
12.7,10.36,2.2161,4.3426e+16,0.33155999999999997,0.94581,93.0
12.8,10.259,2.2501,4.3003e+16,0.33014,0.94531,94.0
12.9,10.138,2.2789,4.2493e+16,0.32878,0.9450700000000001,94.0
13.0,10.0,2.3027,4.1918e+16,0.32743,0.9449299999999999,94.0
13.1,9.8403,2.3193,4.1247e+16,0.32609,0.9449700000000001,94.0
13.2,9.6464,2.3261,4.0434e+16,0.3248,0.9455600000000001,95.0
13.3,9.4294,2.3253,3.9524e+16,0.32348000000000005,0.94634,95.0
13.4,9.2001,2.3191,3.8563e+16,0.3221,0.9472299999999999,95.0
13.5,8.9824,2.3107,3.7651e+16,0.32054,0.9481200000000001,95.0
13.6,8.761000000000001,2.2995,3.6723e+16,0.31892,0.9491200000000001,96.0
13.7,8.5356,2.2866,3.5778e+16,0.31728,0.9502299999999999,96.0
13.8,8.3018,2.2721,3.4798e+16,0.31564000000000003,0.9513299999999999,96.0
13.9,8.0587,2.2542,3.3779e+16,0.31395,0.9524799999999999,96.0
14.0,7.8007,2.2319999999999998,3.2698e+16,0.31222,0.9537100000000001,96.0
14.1,7.5323,2.2044,3.1573e+16,0.31035999999999997,0.95504,96.0
14.2,7.2544,2.1711,3.0408e+16,0.30835,0.95649,96.0
14.3,6.9682,2.1298,2.9208e+16,0.3061,0.9581299999999999,96.0
14.4,6.6828,2.0851,2.8012e+16,0.30368,0.9598200000000001,96.0
14.5,6.4005,2.0384,2.6828e+16,0.30112,0.9615,96.0
14.6,6.1291,1.9917,2.5691e+16,0.29845,0.9631299999999999,96.0
14.7,5.8688,1.943,2.46e+16,0.29561,0.9647700000000001,96.0
14.8,5.6237,1.8902,2.3572e+16,0.29254,0.9664799999999999,96.0
14.9,5.3946,1.8352,2.2612e+16,0.2893,0.9682,96.0
15.0,5.1798,1.7795,2.1712e+16,0.28594,0.9699,96.0
15.1,4.9777,1.7252,2.0865e+16,0.28256,0.9715,96.0
15.2,4.7889,1.6727,2.0073e+16,0.27915999999999996,0.973,96.0
15.3,4.6137,1.6215,1.9339e+16,0.27574,0.9744200000000001,96.0
15.4,4.4536,1.5715,1.8668e+16,0.2723,0.9757600000000001,96.0
15.5,4.3062,1.5234,1.805e+16,0.26889,0.97701,96.0
15.6,4.1712,1.4773,1.7484e+16,0.2655,0.9781700000000001,96.0
15.7,4.0485,1.4342,1.697e+16,0.26219000000000003,0.97925,95.0
15.8,3.9345,1.3931,1.6492e+16,0.25892,0.98034,95.0
15.9,3.8288,1.3538,1.6049e+16,0.25571,0.98134,95.0
16.0,3.7255,1.3151,1.5616e+16,0.25251,0.9823,95.0
16.1,3.6301,1.2783,1.5216e+16,0.24938000000000002,0.9831799999999999,95.0
16.2,3.5432,1.2436,1.4852e+16,0.24631,0.9839899999999999,95.0
16.3,3.4734,1.2117,1.4559e+16,0.24333000000000002,0.98472,95.0
16.4,3.4101,1.1825,1.4294e+16,0.24044000000000001,0.98536,95.0
16.5,3.3506,1.1556,1.4044e+16,0.23765999999999998,0.9859399999999999,95.0
16.6,3.2897,1.1318,1.3789e+16,0.235,0.9864299999999999,95.0
16.7,3.2242,1.1098,1.3515e+16,0.23242,0.98688,95.0
16.8,3.1553,1.0888,1.3226e+16,0.22991,0.9873,95.0
16.9,3.0803,1.0687,1.2911e+16,0.22745,0.9876799999999999,95.0
17.0,2.9993,1.0483,1.2572e+16,0.225,0.9881200000000001,94.0
17.1,2.9148,1.0275,1.2218e+16,0.22255999999999998,0.98856,94.0
17.2,2.8267,1.0057,1.1848e+16,0.22009,0.9890100000000001,94.0
17.3,2.7368,0.9820200000000001,1.1471e+16,0.21755,0.98949,94.0
17.4,2.6473,0.95811,1.1096e+16,0.21502,0.9899600000000001,94.0
17.5,2.5584,0.934,1.0724e+16,0.21249,0.99041,94.0
17.6,2.4736,0.91066,1.0368e+16,0.21,0.9908399999999999,94.0
17.7,2.3918,0.88785,1.0026e+16,0.20753000000000002,0.99124,94.0
17.8,2.3129,0.86554,9694600000000000.0,0.2051,0.9916200000000001,94.0
17.9,2.235,0.84411,9368200000000000.0,0.2027,0.99198,94.0
18.0,2.1607,0.82329,9057000000000000.0,0.20035,0.99231,94.0
18.1,2.0919,0.80272,8768600000000000.0,0.19801,0.9926299999999999,94.0
18.2,2.0296,0.7822600000000001,8507500000000000.0,0.1957,0.99293,94.0
18.3,1.9798,0.76117,8298700000000000.0,0.19337000000000001,0.99324,94.0
18.4,1.9345,0.74046,8108800000000000.0,0.19107000000000002,0.9935200000000001,94.0
18.5,1.8937,0.72012,7937500000000000.0,0.1888,0.99384,93.0
18.6,1.8503,0.70013,7755700000000000.0,0.18656,0.9941700000000001,93.0
18.7,1.8082,0.68105,7579500000000000.0,0.18437,0.9944799999999999,93.0
18.8,1.7719,0.66299,7427100000000000.0,0.18224,0.99475,93.0
18.9,1.742,0.64591,7301700000000000.0,0.18016,0.9950100000000001,93.0
19.0,1.7332,0.63038,7264900000000000.0,0.17817,0.99523,93.0
19.1,1.7262,0.6162,7235600000000000.0,0.17626,0.9954299999999999,93.0
19.2,1.7209,0.6033,7213500000000000.0,0.17440999999999998,0.99561,93.0
19.3,1.7132,0.59206,7181200000000000.0,0.17265,0.9957600000000001,93.0
19.4,1.6962,0.58229,7109900000000000.0,0.17097,0.9958799999999999,93.0
19.5,1.6739,0.57311,7016500000000000.0,0.16933,0.996,93.0
19.6,1.6464,0.5645100000000001,6901300000000000.0,0.16772,0.9961,93.0
19.7,1.6109,0.55611,6752200000000000.0,0.16614,0.9962,93.0
19.8,1.5694,0.54743,6578400000000000.0,0.16455,0.9963,93.0
19.9,1.5235,0.5385300000000001,6386100000000000.0,0.16297,0.9964,93.0
20.0,1.4733,0.5294300000000001,6175700000000000.0,0.16138,0.9965,93.0
20.1,1.4180000000000001,0.51951,5943900000000000.0,0.15977,0.99661,93.0
20.2,1.3622,0.50917,5709700000000000.0,0.15815,0.99671,93.0
20.3,1.306,0.4985,5474400000000000.0,0.15652,0.9968100000000001,93.0
20.4,1.2498,0.48749,5238600000000000.0,0.15488,0.99692,93.0
20.5,1.1975,0.47600000000000003,5019400000000000.0,0.15323,0.99702,93.0
20.6,1.1482,0.46448,4812800000000000.0,0.15159,0.9971200000000001,93.0
20.7,1.1019,0.45295,4618600000000000.0,0.14995999999999998,0.99721,93.0
20.8,1.0589,0.44143000000000004,4438500000000000.0,0.14835,0.9973299999999999,92.0
20.9,1.0222,0.43023999999999996,4284600000000000.0,0.14677,0.99746,92.0
21.0,0.9879600000000001,0.41928000000000004,4141100000000000.0,0.1452,0.99759,92.0
21.1,0.95615,0.40854,4007800000000000.0,0.14367,0.99771,92.0
21.2,0.92655,0.39805,3883700000000000.0,0.14215,0.99782,92.0
21.3,0.8970100000000001,0.3879,3759900000000000.0,0.14065999999999998,0.9979299999999999,92.0
21.4,0.8686200000000001,0.37803000000000003,3640900000000000.0,0.13919,0.99803,92.0
21.5,0.84136,0.36841999999999997,3526600000000000.0,0.13775,0.9981200000000001,92.0
21.6,0.81518,0.35907,3416900000000000.0,0.13633,0.99821,92.0
21.7,0.78925,0.35003,3308200000000000.0,0.13493,0.99829,92.0
21.8,0.76455,0.34121,3204700000000000.0,0.13355,0.99836,92.0
21.9,0.7410800000000001,0.3326,3106300000000000.0,0.13219,0.99844,92.0
22.0,0.7188100000000001,0.32421,3013000000000000.0,0.13086,0.9985,92.0
22.1,0.69816,0.31594,2926400000000000.0,0.12954000000000002,0.9985700000000001,92.0
22.2,0.67909,0.30785999999999997,2846500000000000.0,0.12824000000000002,0.9986299999999999,92.0
22.3,0.6615300000000001,0.29998,2772900000000000.0,0.12695,0.9986799999999999,92.0
22.4,0.64546,0.29228000000000004,2705500000000000.0,0.12569,0.9987299999999999,92.0
22.5,0.63135,0.28476,2646400000000000.0,0.12445,0.9987799999999999,92.0
22.6,0.6188,0.27746,2593800000000000.0,0.12322000000000001,0.99882,92.0
22.7,0.60741,0.27037,2546000000000000.0,0.12202,0.99887,92.0
22.8,0.59716,0.26349,2503100000000000.0,0.12082999999999999,0.9989,92.0
22.9,0.5879300000000001,0.25683,2464400000000000.0,0.11965999999999999,0.9989399999999999,92.0
23.0,0.57924,0.25042,2427900000000000.0,0.11852,0.99897,92.0
23.1,0.57118,0.24422,2394200000000000.0,0.11739000000000001,0.9990000000000001,92.0
23.2,0.56375,0.23822,2363000000000000.0,0.11628,0.99902,92.0
23.3,0.55693,0.2324,2334400000000000.0,0.11519000000000001,0.99905,92.0
23.4,0.55048,0.22676,2307400000000000.0,0.11412,0.9990700000000001,92.0
23.5,0.54442,0.22128,2282000000000000.0,0.11306,0.9990899999999999,92.0
23.6,0.53874,0.21595999999999999,2258200000000000.0,0.11202000000000001,0.99911,92.0
23.7,0.53345,0.2108,2236000000000000.0,0.11099,0.9991200000000001,92.0
23.8,0.52854,0.2058,2215400000000000.0,0.10998,0.9991399999999999,92.0
23.9,0.52393,0.20094,2196100000000000.0,0.10898,0.99916,91.0
24.0,0.51956,0.19622,2177800000000000.0,0.10800000000000001,0.9992,91.0
24.1,0.51543,0.19162,2160500000000000.0,0.10703,0.99923,91.0
24.2,0.51153,0.18714,2144100000000000.0,0.10607,0.9992700000000001,91.0
24.3,0.50752,0.18278,2127300000000000.0,0.10513,0.9993,91.0
24.4,0.50372,0.17852,2111400000000000.0,0.1042,0.9993299999999999,91.0
24.5,0.50021,0.17436,2096700000000000.0,0.10328,0.99936,91.0
24.6,0.49699,0.17031,2083200000000000.0,0.10237,0.99939,91.0
24.7,0.49411000000000005,0.16635999999999998,2071100000000000.0,0.10147,0.99941,91.0
24.8,0.49193000000000003,0.16249,2062000000000000.0,0.10059,0.99944,91.0
24.9,0.49007,0.15872,2054200000000000.0,0.099712,0.99946,91.0
25.0,0.48854,0.15504,2047800000000000.0,0.098849,0.9994799999999999,91.0
25.1,0.48733999999999994,0.15145999999999998,2042700000000000.0,0.097997,0.99951,91.0
25.2,0.48641999999999996,0.14795999999999998,2038900000000000.0,0.09715599999999999,0.9995299999999999,91.0
25.3,0.48568999999999996,0.14456,2035800000000000.0,0.096326,0.99954,91.0
25.4,0.4852,0.14125,2033800000000000.0,0.095506,0.99956,91.0
25.5,0.48496000000000006,0.13802,2032800000000000.0,0.094697,0.9995799999999999,91.0
25.6,0.48496000000000006,0.13487000000000002,2032800000000000.0,0.093898,0.9996,91.0
25.7,0.48505,0.1318,2033200000000000.0,0.093109,0.99961,91.0
25.8,0.48532,0.12880999999999998,2034300000000000.0,0.09233,0.9996299999999999,91.0
25.9,0.48591999999999996,0.1259,2036800000000000.0,0.091561,0.99964,91.0
26.0,0.48683999999999994,0.12307,2040700000000000.0,0.09080099999999999,0.99965,91.0
26.1,0.48808999999999997,0.1203,2045900000000000.0,0.090052,0.9996700000000001,91.0
26.2,0.48999,0.11760999999999999,2053900000000000.0,0.089311,0.9996799999999999,91.0
26.3,0.49245,0.115,2064100000000000.0,0.08857999999999999,0.99969,91.0
26.4,0.49515,0.11245,2075500000000000.0,0.087858,0.9997,91.0
26.5,0.49812,0.10995999999999999,2087900000000000.0,0.087145,0.99971,91.0
26.6,0.50133,0.10754000000000001,2101400000000000.0,0.08644099999999999,0.99972,91.0
26.7,0.50461,0.10518,2115100000000000.0,0.085745,0.9997299999999999,91.0
26.8,0.50785,0.10287,2128700000000000.0,0.08505700000000001,0.9997299999999999,91.0
26.9,0.51122,0.10063,2142800000000000.0,0.084377,0.99974,91.0
27.0,0.5147,0.09843400000000001,2157400000000000.0,0.083705,0.99975,91.0
27.1,0.5182899999999999,0.096295,2172500000000000.0,0.083041,0.99976,91.0
27.2,0.52199,0.094209,2188000000000000.0,0.082384,0.99976,91.0
27.3,0.52581,0.092175,2204000000000000.0,0.081735,0.99977,91.0
27.4,0.52974,0.09018999999999999,2220500000000000.0,0.081094,0.99977,91.0
27.5,0.53378,0.088253,2237400000000000.0,0.08046,0.9997799999999999,91.0
27.6,0.53793,0.086365,2254800000000000.0,0.079833,0.9997799999999999,91.0
27.7,0.5422,0.084523,2272700000000000.0,0.07921399999999999,0.99979,91.0
27.8,0.54661,0.08273,2291200000000000.0,0.07860199999999999,0.99979,91.0
27.9,0.5511199999999999,0.080978,2310100000000000.0,0.07799600000000001,0.99979,91.0
28.0,0.5557,0.07926699999999999,2329300000000000.0,0.07739700000000001,0.9998,91.0
28.1,0.5603600000000001,0.07759500000000001,2348800000000000.0,0.076805,0.9998,91.0
28.2,0.5651,0.075961,2368700000000000.0,0.07621900000000001,0.9998,91.0
28.3,0.56991,0.074363,2388900000000000.0,0.07564,0.9998,91.0
28.4,0.57476,0.072798,2409200000000000.0,0.075066,0.9998100000000001,91.0
28.5,0.5796399999999999,0.071265,2429600000000000.0,0.07449800000000001,0.9998100000000001,91.0
28.6,0.5845600000000001,0.069765,2450200000000000.0,0.073936,0.9998100000000001,91.0
28.7,0.5895,0.06829500000000001,2471000000000000.0,0.073379,0.9998100000000001,91.0
28.8,0.59442,0.066852,2491600000000000.0,0.072828,0.9998100000000001,91.0
28.9,0.59927,0.065433,2511900000000000.0,0.072282,0.9998100000000001,91.0
29.0,0.60418,0.064045,2532500000000000.0,0.071742,0.99982,91.0
29.1,0.60914,0.062688,2553300000000000.0,0.071207,0.99982,91.0
29.2,0.61416,0.061362,2574300000000000.0,0.07067799999999999,0.99982,91.0
29.3,0.61922,0.060065,2595500000000000.0,0.070154,0.99982,91.0
29.4,0.62443,0.058802999999999994,2617400000000000.0,0.069636,0.99982,91.0
29.5,0.62974,0.057574,2639600000000000.0,0.069124,0.99982,91.0
29.6,0.6351399999999999,0.056375,2662300000000000.0,0.068617,0.99982,91.0
29.7,0.64063,0.055205,2685300000000000.0,0.068116,0.99982,91.0
29.8,0.6462,0.054064,2708600000000000.0,0.06762,0.99982,91.0
29.9,0.65185,0.05295,2732300000000000.0,0.067129,0.9998100000000001,91.0
30.0,0.65758,0.051865999999999995,2756300000000000.0,0.06664400000000001,0.9998100000000001,91.0
30.1,0.6634,0.050807,2780700000000000.0,0.066164,0.9998100000000001,91.0
30.2,0.6693,0.049772000000000004,2805500000000000.0,0.065688,0.9998100000000001,91.0
30.3,0.6753,0.048761,2830600000000000.0,0.065218,0.9998100000000001,91.0
30.4,0.6813899999999999,0.047774000000000004,2856100000000000.0,0.064752,0.9998100000000001,91.0
30.5,0.6875,0.046819,2881700000000000.0,0.064292,0.9998100000000001,91.0
30.6,0.69365,0.045893,2907500000000000.0,0.063837,0.9998100000000001,91.0
30.7,0.69997,0.044979000000000005,2934000000000000.0,0.063386,0.9998,91.0
30.8,0.70643,0.044075,2961100000000000.0,0.062938,0.9998,91.0
30.9,0.71306,0.043181,2988900000000000.0,0.06249299999999999,0.9998,91.0
31.0,0.7198399999999999,0.042299,3017300000000000.0,0.062051999999999996,0.9998,91.0
31.1,0.72696,0.041402,3047100000000000.0,0.061610000000000005,0.9998,91.0
31.2,0.7344,0.040492,3078300000000000.0,0.06116900000000001,0.9998,91.0
31.3,0.742,0.039597,3110200000000000.0,0.06073200000000001,0.99979,91.0
31.4,0.74976,0.038717,3142700000000000.0,0.060298000000000004,0.99979,91.0
31.5,0.75768,0.037852,3175900000000000.0,0.059867,0.99979,91.0
31.6,0.76576,0.037002999999999994,3209800000000000.0,0.05944,0.9997799999999999,91.0
31.7,0.7739,0.036181,3243900000000000.0,0.05901699999999999,0.9997799999999999,91.0
31.8,0.78208,0.035392,3278200000000000.0,0.058601,0.9997799999999999,91.0
31.9,0.79037,0.034624,3312900000000000.0,0.058188,0.9997799999999999,91.0
32.0,0.79876,0.033877,3348100000000000.0,0.05778,0.99977,91.0
32.1,0.8072600000000001,0.033151,3383700000000000.0,0.057375,0.99977,90.0
32.2,0.81586,0.032444,3419800000000000.0,0.056975,0.9997799999999999,90.0
32.3,0.82435,0.031758,3455400000000000.0,0.05658,0.9997799999999999,90.0
32.4,0.83278,0.031092,3490700000000000.0,0.056188,0.99979,90.0
32.5,0.8414799999999999,0.030444,3527200000000000.0,0.0558,0.9998,90.0
32.6,0.8504700000000001,0.029812,3564900000000000.0,0.055416,0.9998,90.0
32.7,0.85974,0.029195999999999996,3603700000000000.0,0.055035,0.9998100000000001,90.0
32.8,0.8692799999999999,0.028595999999999996,3643700000000000.0,0.054657000000000004,0.9998100000000001,90.0
32.9,0.879,0.028012000000000002,3684400000000000.0,0.054283000000000005,0.9998100000000001,90.0
33.0,0.88889,0.027442,3725900000000000.0,0.053912,0.99982,90.0
33.1,0.8995299999999999,0.026886,3770500000000000.0,0.05354299999999999,0.99982,90.0
33.2,0.9109,0.026344,3818100000000000.0,0.053176999999999995,0.9998299999999999,90.0
33.3,0.92301,0.025817000000000003,3868900000000000.0,0.052814,0.9998299999999999,90.0
33.4,0.93584,0.025303,3922700000000000.0,0.052453,0.9998299999999999,90.0
33.5,0.9494100000000001,0.024804,3979500000000000.0,0.052095,0.99984,90.0
33.6,0.96505,0.024303,4045100000000000.0,0.051734,0.99984,90.0
33.7,0.9817299999999999,0.023822,4115000000000000.0,0.051377,0.99985,90.0
33.8,0.9991700000000001,0.023363,4188200000000000.0,0.051022000000000005,0.99985,90.0
33.9,1.0174,0.022926,4264500000000000.0,0.050671,0.99985,90.0
34.0,1.0364,0.022512,4344100000000000.0,0.050323,0.9998600000000001,90.0
34.1,1.0561,0.022121000000000002,4426800000000000.0,0.049977999999999995,0.9998600000000001,90.0
34.2,1.0763,0.021758,4511400000000000.0,0.049638,0.9998600000000001,90.0
34.3,1.0966,0.02143,4596400000000000.0,0.049303,0.9998600000000001,90.0
